ID,specid,Gaia_designation,R.A.,e_R.A.,decl.,e_decl.,S/N_r,Class,RV_LASP,e_RV_LASP,pmra,e_pmra,pmdec,e_pmdec,parallax,e_parallax,G,G_BP,G_RP,astrometric_flag,RV_LASP_Calibrated,r,el_r,eu_r,x,el_x,eu_x,y,el_y,eu_y,z,el_z,eu_z,r_GC,el_r_GC,eu_r_GC,Vx,el_Vx,eu_Vx,Vy,el_Vy,eu_Vy,Vz,el_Vz,eu_Vz,V_GC,el_V_GC,eu_V_GC,e,el_e,eu_e,Zmax,el_Zmax,eu_Zmax,r_min,el_r_min,eu_r_min,E_Phi_Infinity,el_E_Phi_Infinity,eu_E_Phi_Infinity,Vesc(W),Vesc(G),Vesc(Ke),Vesc(Ko),Vesc(P),Vesc(M),Vesc(X),Pgc,PMW,Pub(W),Pub(G),Pub(Ke),Pub(Ko),Pub(P),Pub(M),Pub(X),Origin_Class,Teff_LASP,e_Teff_LASP,log(g)_LASP,e_log(g)_LASP,[Fe/H]_LASP,e_[Fe/H]_LASP,Teff_DD-Payne,e_Teff_DD-Payne,log(g)_DD-Payne,e_log(g)_DD-Payne,[Fe/H]_DD-Payne,e_[Fe/H]_DD-Payne,Alpha_Fe_DD-Payne,e_Alpha_Fe_DD-Payne,conservative_results
Hivel271,20130324HD162834N013512M0105182_v2.9.7,Gaia DR2 4407818218835757440,246.196006,0.0332,0.6672423,0.0251,46,A1IV,-208,7,-31.317,0.069,-11.133,0.044,0.236,0.044,15.32,15.2,14.17,1,-203,4.3,0.7,0.9,-4.7,0.6,0.8,0.9,0.1,0.2,2.3,0.4,0.5,5.3,0.4,0.3,-232,18,15,-359,126,93,248,56,80,495,100,141,0.95055,0.13242,0.04649,93.1,73.5,1885.6,4.5,0.3,0.5,-0.0003,0.0004,0.0008,654,630,629,598,566,552,520,0,1,0.134,0.167,0.167,0.234,0.298,0.329,0.412,RS,10728,147,4.31,0.05,-0.54,0.06,8067,167,4.26,0.16,-1.18,0.13,0.11,0.06,0
Hivel272,20180205HD103450S035358B0103218_v2.9.7,Gaia DR2 3781002582756525184,157.6492462,0.0394,-3.61892202,0.0384,90,A2IV,278,5,-43.25,0.079,-13.672,0.064,0.374,0.043,14.29,13.61,12.97,0,283,2.7,0.3,0.4,-8.9,0.1,0.1,-1.8,0.2,0.2,1.9,0.2,0.2,9.2,0.1,0.2,-426,49,40,-185,33,26,-165,48,39,494,57,71,0.99262,0.03471,0.00364,200.8,112.5,79.8,33.6,30.6,59.6,0,0.0003,0.0004,610,597,585,559,526,500,480,0,0.343,0.069,0.086,0.112,0.186,0.331,0.472,0.581,OUT,8659,26,4.65,0.02,-0.61,0.03,7953,69,4.14,0.07,-0.99,0.07,0.18,0.03,0
Hivel273,20160106HD131614N190306B0216133_v2.9.7,Gaia DR2 3943468619900336512,198.3306395,0.0464,20.94118875,0.0356,37,F5,-28,14,19.062,0.127,-37.843,0.085,0.37,0.056,16.13,15.19,14.05,1,-23,2.7,0.3,0.5,-7.8,0,0.1,-0.1,0,0,2.7,0.3,0.5,8.3,0.1,0.1,484,62,87,-2,47,33,-91,19,17,494,62,90,0.99066,0.00993,0.00439,128.1,88.7,299.6,0.7,0.4,1.1,0,0.0003,0.0005,618,604,594,566,533,510,489,0.251,0.384,0.101,0.121,0.142,0.211,0.321,0.416,0.526,HVS,6083,178,4.21,0.29,-1.18,0.17,6068,50,4.22,0.17,-1.2,0.09,0.17,0.06,0
Hivel274,20181007HD205547N073958B0111048_v2.9.7,Gaia DR2 1750487558700857984,314.3695447,0.0214,10.04263274,0.0212,208,A2V,-361,22,12.296,0.044,3.291,0.048,0.149,0.028,14.3,12.92,12.56,1,-355,6.8,1.1,1.6,-4.9,0.5,0.8,5.3,0.8,1.2,-2.5,0.6,0.4,7.6,0.3,0.7,-480,73,54,54,21,25,-99,60,38,493,60,88,0.98423,0.05055,0.01205,178.9,150.8,927.8,5,1.6,1.9,-0.0001,0.0003,0.0005,625,607,601,572,540,518,495,0,0.999,0.098,0.127,0.133,0.193,0.296,0.377,0.494,RS,6613,12,4.02,0.02,-2.1,0.01,7193,36,3.71,0.07,-1.41,0.06,0.17,0.02,0
Hivel275,20180415HD134345N224201M0209069_v2.9.7,Gaia DR2 1443982371581698944,206.8596394,0.0297,23.68693109,0.027,80,F0,-135,7,-35.313,0.079,-27.517,0.054,0.293,0.044,15.83,13.94,12.97,1,-129,3.4,0.4,0.6,-7.5,0.1,0.1,0.3,0,0,3.3,0.4,0.6,8.2,0.1,0.1,-168,28,20,-462,126,92,-28,13,18,493,91,128,0.98496,0.16832,0.01065,226.4,201,240.1,33,25.4,13.1,-0.0001,0.0004,0.0007,618,604,594,565,533,511,489,0,0.424,0.167,0.187,0.208,0.273,0.355,0.437,0.519,OUT,6296,20,3.94,0.04,-2.27,0.03,6347,47,3.84,0.15,-1.98,0.1,0.28,0.04,0
Hivel276,20170516HD163300N063640V0113161_v2.9.7,Gaia DR2 4439062078689009152,249.723546,0.0183,7.27542108,0.0136,142,G3,-368,8,-5.222,0.039,-26.315,0.032,0.212,0.022,13.69,17.72,15.3,1,-363,4.7,0.4,0.6,-4.6,0.3,0.4,1.6,0.1,0.2,2.5,0.2,0.3,5.5,0.1,0.1,48,29,40,-360,60,44,-332,17,15,493,44,61,0.96681,0.06667,0.02784,155.8,95.2,995.2,4.7,0.4,1.9,-0.0002,0.0002,0.0003,651,628,626,595,563,549,518,0,0.589,0.017,0.026,0.029,0.065,0.122,0.166,0.305,RS,5017,28,2.34,0.05,-1.65,0.03,5148,35,2.51,0.09,-1.5,0.05,0.23,0.02,0
Hivel277,20160217HD154528N083911V0106073_v2.9.7,Gaia DR2 4454407790680400128,238.616756,0.0162,8.49549559,0.0123,148,G5,-8,6,1.848,0.031,-19.839,0.025,0.154,0.021,13.28,14.15,13.39,1,-3,6.5,0.7,1,-3.7,0.5,0.7,1.5,0.2,0.2,4.4,0.5,0.7,6,0,0.2,396,43,63,-152,65,44,-250,41,28,493,62,91,0.98928,0.01065,0.00675,190.2,135.7,1058.1,0.2,0.1,1.7,-0.0001,0.0003,0.0005,640,621,616,583,551,541,512,0.353,0.491,0.074,0.092,0.104,0.174,0.254,0.284,0.413,HVS,4622,33,1.18,0.05,-1.6,0.03,4956,37,1.99,0.08,-1.21,0.05,0.22,0.02,0
Hivel278,20180209HD130444N001742B0207205_v2.9.7,Gaia DR2 3685801299746274688,197.6011342,0.033,-1.4247792,0.0198,86,G2,-54,7,-34.114,0.072,4.992,0.035,0.295,0.036,14.38,15.12,14.2,1,-49,3.4,0.4,0.5,-7.1,0.1,0.2,-1.2,0.2,0.1,3,0.3,0.4,7.8,0,0.1,-489,66,55,12,35,30,44,12,13,492,53,68,0.9913,0.02083,0.00642,345,276.7,874.1,4.6,3,1.6,-0.0001,0.0002,0.0004,623,607,599,569,537,516,493,0,1,0.056,0.066,0.078,0.135,0.246,0.338,0.497,RS,5207,51,3.05,0.08,-1.18,0.05,5281,40,3.04,0.11,-1.12,0.06,0.24,0.03,0
Hivel279,20170423HD184531N195811V0109112_v2.9.7,Gaia DR2 4530877793611733376,282.0627511,0.0098,20.99323472,0.0132,177,G5,-364,6,-5.692,0.023,-9.252,0.026,0.085,0.017,13.32,19.48,17.32,1,-358,11.9,2.1,2.8,-0.9,1.3,1.7,9.2,1.6,2.2,2.1,0.4,0.5,9.5,1.4,2.2,263,82,113,-414,93,69,11,12,17,492,101,139,0.9837,0.02314,0.01092,130.3,106.3,209.5,37.6,36.4,10.1,-0.0001,0.0004,0.0009,608,590,583,557,524,498,479,0.132,0.454,0.23,0.258,0.269,0.319,0.4,0.485,0.545,OUT,4340,45,0.8,0.07,-1.69,0.04,4571,27,1.46,0.06,-1.36,0.04,0.26,0.01,0
Hivel280,20151006EG213118N034906B0115025_v2.9.7,Gaia DR2 2699001399207617792,322.33542,0.0257,4.73826814,0.0236,59,G7,-587,7,-0.97,0.051,-15.938,0.047,0.169,0.03,14.38,16.29,15.64,1,-582,5.9,0.9,1.2,-5.5,0.4,0.6,4.3,0.7,0.9,-3.1,0.7,0.5,7.7,0.2,0.5,7,39,55,-479,64,49,109,45,32,492,38,60,0.98127,0.05096,0.0127,68.7,27.8,39.5,6.6,0.5,85.4,-0.0001,0.0002,0.0004,624,607,599,570,538,517,494,0,0.414,0.052,0.073,0.085,0.137,0.23,0.315,0.472,OUT,4960,65,2.5,0.16,-1.17,0.07,4857,68,2.51,0.17,-1.23,0.09,0.32,0.04,0
Hivel281,20140504HD162506N240323B0101123_v2.9.7,Gaia DR2 1298337316156102144,246.8542906,0.0136,21.96145804,0.0134,92,F2,47,11,-20.886,0.028,-9.957,0.029,0.168,0.02,14.28,18.68,16.3,1,53,6,0.6,0.8,-4.7,0.4,0.4,2.9,0.3,0.4,3.9,0.4,0.5,6.8,0.1,0.2,85,8,9,-268,70,59,401,39,50,492,66,78,0.97768,0.11553,0.01773,565.6,481,2143.4,7.4,0.9,0.6,-0.0001,0.0003,0.0005,632,614,608,576,544,529,503,0,1,0.07,0.091,0.102,0.152,0.238,0.3,0.439,RS,5469,79,2.88,0.13,-1.12,0.08,5503,37,2.63,0.12,-1.18,0.06,0.29,0.03,0
Hivel282,20140313HD113759S013557V05182_v2.9.7,Gaia DR2 3793377208170393984,173.4868242,0.0363,-2.47251167,0.0238,79,F7,292,9,24.132,0.07,-8.577,0.046,0.327,0.041,12.82,15.05,13.69,0,298,3.1,0.4,0.5,-8.3,0,0,-1.8,0.3,0.2,2.5,0.3,0.4,8.8,0.1,0.2,375,42,55,126,8,8,293,9,10,492,35,49,0.98487,0.0361,0.00779,916.1,685.5,795.4,11.5,5.1,0.9,-0.0001,0.0002,0.0003,613,599,589,561,529,504,484,0,1,0.012,0.024,0.038,0.094,0.216,0.364,0.58,RS,5489,31,3.07,0.05,-1.27,0.03,5625,43,2.79,0.13,-1.33,0.06,0.25,0.03,0
Hivel283,20190312HD163334N102208B0113043_v2.9.7,Gaia DR2 4446974233081160960,250.5700022,0.0272,10.81877902,0.0243,86,F0,-408,16,-37.936,0.067,-48.279,0.066,0.475,0.038,15.31,18.66,15.69,1,-402,2.1,0.2,0.2,-6.6,0.1,0.1,0.8,0.1,0.1,1.2,0.1,0.1,6.8,0.1,0.1,-67,20,22,-473,46,44,-103,12,13,491,39,41,0.95595,0.06551,0.03596,44.9,21.4,36.7,7.8,0.9,1.2,-0.0002,0.0002,0.0002,638,618,613,586,553,529,503,0,0.59,0.001,0.004,0.006,0.017,0.073,0.163,0.372,RS,6246,63,4.09,0.1,-1.48,0.06,6210,44,3.91,0.14,-1.6,0.07,0.22,0.04,1
Hivel284,20170308HD153447N440403V0112001_v2.9.7,Gaia DR2 1397690664309963008,235.5653681,0.0159,45.42529878,0.0185,128,G3,-96,6,-24.663,0.031,-3.994,0.038,0.179,0.02,12.41,14.57,13.21,1,-90,5.6,0.5,0.7,-7.2,0.1,0.1,3.3,0.3,0.4,4.4,0.4,0.5,9,0.2,0.3,-203,25,20,-284,58,47,346,40,50,491,62,81,0.98837,0.08492,0.00647,927.5,824.8,1468.7,7.9,0.5,0.8,0,0.0003,0.0005,609,596,584,555,523,502,482,0,1,0.091,0.106,0.131,0.211,0.343,0.447,0.553,RS,4851,26,1.88,0.04,-2.02,0.02,5086,37,2.39,0.09,-1.65,0.05,0.26,0.02,0
Hivel285,20150522HD124702N090350B0102248_v2.9.7,Gaia DR2 3710479632074215424,190.7967793,0.0281,7.65150818,0.0183,71,G0,154,10,24.412,0.067,-30.945,0.032,0.386,0.034,14.63,14.09,12.66,1,159,2.6,0.2,0.3,-7.8,0,0,-0.8,0.1,0.1,2.5,0.2,0.2,8.2,0,0,485,36,45,61,15,12,39,15,15,491,33,43,0.98693,0.01071,0.00545,240.9,91.7,98.2,25.7,24.3,7.8,-0.0001,0.0002,0.0002,619,604,595,567,534,511,489,0.005,0.463,0.003,0.005,0.01,0.052,0.156,0.322,0.522,OUT,5500,69,3.65,0.11,-1.3,0.07,5514,42,3.47,0.14,-1.29,0.07,0.24,0.04,1
Hivel286,20140602HD160847N353259B0113099_v2.9.7,Gaia DR2 1329881651921667584,244.1182066,0.0149,35.5488243,0.0161,89,G2,-192,9,-9.035,0.035,-17.938,0.036,0.146,0.018,14.73,15.6,13.8,1,-187,6.9,0.8,1,-5.6,0.3,0.4,4,0.5,0.6,5,0.6,0.7,8.5,0.3,0.5,351,47,58,-339,69,54,50,21,25,491,73,91,0.98452,0.0589,0.01009,362.3,266.1,493,30.8,27,4.4,-0.0001,0.0003,0.0005,613,599,589,558,527,508,487,0,0.421,0.105,0.13,0.155,0.242,0.351,0.414,0.524,OUT,5111,49,2.61,0.08,-1.3,0.05,5163,47,2.52,0.12,-1.29,0.07,0.28,0.03,0
Hivel287,20140203HD135706N205714V01093_v2.9.7,Gaia DR2 1246482080046432256,209.4608839,0.0172,19.01105506,0.0173,110,G2,217,10,-49.492,0.048,-28.998,0.038,0.413,0.025,13.54,11.22,9.91,1,223,2.4,0.1,0.2,-7.5,0,0,0.1,0,0,2.3,0.1,0.1,7.8,0,0,-133,14,12,-355,40,35,312,11,12,491,31,38,0.98566,0.04228,0.0076,504.9,370.4,634.5,6.8,0,0,-0.0001,0.0002,0.0002,624,608,599,571,538,515,493,0,1,0.001,0.004,0.007,0.031,0.107,0.251,0.488,RS,5341,46,2.96,0.08,-1.67,0.04,5386,35,2.85,0.11,-1.6,0.06,0.22,0.03,1
Hivel288,20160208HD084415N420602M0107133_v2.9.7,Gaia DR2 912562700793656704,133.5372433,0.1041,40.6361307,0.0893,14,K5,-210,8,59.929,0.204,-56.518,0.187,0.685,0.135,17.57,16.23,13.71,1,-204,1.5,0.2,0.3,-9.3,0.3,0.2,0,0,0,1,0.2,0.2,9.4,0.2,0.3,429,42,60,-158,96,68,173,49,71,490,72,113,0.98586,0.0294,0.00922,606.6,523.9,1196.9,11.6,8.9,0.4,0,0.0004,0.0007,610,597,585,560,527,499,479,0.031,1,0.155,0.173,0.196,0.25,0.361,0.454,0.545,RS,4369,82,4.8,0.13,-0.87,0.12,4564,143,4.43,0.33,-0.72,0.2,0.14,0.11,0
Hivel289,20150210HD141904N190355B0209220_v2.9.7,Gaia DR2 1239855357825463424,215.5075728,0.019,19.60236491,0.023,86,G2,1,8,12.141,0.057,-34.304,0.052,0.316,0.03,15.06,13.96,12.61,1,6,3.2,0.3,0.3,-7.1,0.1,0.1,0.4,0,0,3,0.3,0.3,7.7,0,0,472,41,47,-18,28,25,-130,17,15,490,43,52,0.98997,0.01038,0.0039,117.9,65.2,344.6,0.8,0.4,2.3,-0.0001,0.0002,0.0003,624,608,600,571,538,518,494,0.29,0.462,0.013,0.02,0.029,0.072,0.176,0.288,0.463,HVS,5368,43,3.48,0.07,-1.26,0.04,5404,38,3.53,0.11,-1.27,0.07,0.26,0.03,1
Hivel290,20150206HD133738N334417V0104193_v2.9.7,Gaia DR2 1469212693107088000,204.0653986,0.0311,33.42546261,0.0286,44,F2,27,12,-0.903,0.055,-33.509,0.049,0.251,0.049,14.17,14.05,12.87,0,33,4,0.7,1,-7.9,0.1,0.1,0.8,0.1,0.2,4,0.7,0.9,8.9,0.3,0.4,406,70,94,-249,123,87,107,17,20,490,104,145,0.97197,0.11264,0.02351,280.7,229.9,928.9,19.4,15,7.1,-0.0001,0.0004,0.0009,611,598,586,557,525,504,483,0,0.789,0.2,0.221,0.243,0.312,0.393,0.451,0.513,RS,6399,72,4.2,0.12,-0.92,0.07,6370,43,4.23,0.13,-1.04,0.07,0.19,0.04,0
Hivel291,20140504HD162506N240323B0101008_v2.9.7,Gaia DR2 1298328687565047040,246.5608177,0.013,21.76062071,0.0146,86,F2,-283,18,-16.384,0.026,0.889,0.032,0.133,0.019,14.04,14.66,13.63,1,-277,7.6,1,1.2,-3.8,0.6,0.7,3.6,0.5,0.6,5,0.7,0.8,7.2,0.3,0.6,-348,35,28,-232,58,48,252,60,74,490,70,87,0.97571,0.09143,0.01962,345.7,291.7,1864.3,6.9,1.6,2.1,-0.0001,0.0003,0.0006,625,609,601,569,537,523,499,0,1,0.101,0.118,0.131,0.203,0.299,0.35,0.458,RS,4999,92,2.13,0.15,-2.22,0.09,5254,46,2.76,0.15,-1.88,0.08,0.24,0.04,0
Hivel292,20140405HD160449N093841B0113019_v2.9.7,Gaia DR2 4453413316772077952,243.5131586,0.0194,10.2320706,0.0148,34,G0,-320,15,-10.087,0.036,-20.844,0.027,0.17,0.028,14.47,15.69,13.49,1,-315,5.9,0.9,1.1,-4,0.6,0.8,1.8,0.3,0.3,3.8,0.5,0.7,5.8,0,0.1,57,40,55,-440,116,84,-203,9,10,490,80,114,0.96095,0.11776,0.03514,110.5,78.8,608.4,4.4,0.2,0.6,-0.0003,0.0003,0.0006,643,623,619,587,554,543,514,0,0.584,0.107,0.131,0.135,0.204,0.275,0.3,0.402,RS,5165,254,2.61,0.41,-1.68,0.24,5309,84,3.1,0.27,-1.49,0.14,0.3,0.09,0
Hivel293,20170607HD134345N224201V0310077_v2.9.7,Gaia DR2 1442061456048795008,203.581035,0.0154,22.17741348,0.0112,90,G3,-45,5,5.263,0.038,-18.3,0.02,0.156,0.02,13.56,14,12.97,1,-40,6.4,0.8,0.9,-7,0.2,0.2,0.2,0,0,6.3,0.8,0.9,9.4,0.4,0.5,467,57,67,-98,50,43,-110,13,10,489,63,77,0.98639,0.02045,0.00729,171.7,106.3,179,2.7,1.1,4.3,0,0.0003,0.0004,604,593,579,548,518,498,479,0.023,0.343,0.098,0.118,0.144,0.222,0.349,0.448,0.546,OUT,5038,31,2.13,0.05,-0.91,0.03,5106,37,2.35,0.09,-0.86,0.05,0.15,0.02,0
Hivel294,20170514HD163300N063640B0209147_v2.9.7,Gaia DR2 4439020022368995072,249.4052037,0.023,6.80350013,0.0161,236,A2V,-82,3,-16.287,0.045,4.548,0.035,0.149,0.028,14.04,14.29,13.61,1,-77,6.8,1.2,1.5,-3,0.9,1.2,2.2,0.4,0.5,3.7,0.6,0.8,5.3,0.1,0.3,-264,50,38,6,51,38,411,77,102,489,83,115,0.97757,0.02922,0.02026,133.7,87.9,2469.9,1.9,0.8,0.9,-0.0003,0.0003,0.0007,651,628,627,594,561,553,521,0.116,1,0.104,0.127,0.132,0.186,0.26,0.279,0.366,RS,11338,47,4.52,0.01,0.35,0.02,7629,43,3.58,0.05,-1.17,0.06,0.26,0.02,0
Hivel295,20170321HD153504N014009B0114064_v2.9.7,Gaia DR2 4420963017782711168,232.2825092,0.0229,2.06612368,0.0203,111,G2,7,8,-2.947,0.045,15.118,0.045,0.246,0.029,14.07,17.85,15.24,1,13,4.1,0.4,0.6,-5.3,0.3,0.4,0.3,0,0,2.9,0.3,0.4,6.1,0.1,0.1,-153,25,20,431,20,26,174,19,24,489,29,39,0.9635,0.04007,0.02901,132.4,74.2,580.8,5.9,0.2,0.1,-0.0002,0.0001,0.0002,643,622,618,587,555,540,511,0,1,0,0.003,0.003,0.018,0.056,0.091,0.269,RS,5201,29,2.78,0.05,-1.44,0.03,5243,36,2.76,0.1,-1.41,0.05,0.23,0.02,0
Hivel296,20150122HD084826S023115B0114173_v2.9.7,Gaia DR2 3072513814219931520,130.4849001,0.0424,-1.95010004,0.045,43,F6,102,14,22.031,0.089,-85.987,0.079,0.643,0.046,15.65,19.51,16.87,1,108,1.6,0.1,0.1,-9.2,0.1,0.1,-1.1,0.1,0.1,0.6,0,0,9.2,0.1,0.1,370,31,32,-297,39,34,-121,14,14,489,44,50,0.98227,0.04213,0.01018,247.7,203.2,339.5,6.2,0.6,1.3,-0.0001,0.0002,0.0003,612,598,587,563,529,500,481,0,0.355,0.013,0.019,0.034,0.082,0.222,0.419,0.577,OUT,5645,125,4.16,0.2,-1.68,0.12,5588,54,4.17,0.19,-1.75,0.1,0.27,0.06,1
Hivel297,20140109HD104840S015732B06135_v2.9.7,Gaia DR2 3801835575028842880,164.5329003,0.0656,-2.38865197,0.0565,37,F2,179,13,-44.322,0.132,0.076,0.101,0.387,0.072,16.19,14.98,14.1,1,184,2.6,0.4,0.6,-8.6,0.1,0.1,-1.6,0.4,0.2,2,0.3,0.5,9,0.2,0.3,-481,108,69,-25,36,26,-83,50,38,489,73,119,0.99258,0.02661,0.00498,255.4,200.8,368.2,9.9,8.6,20.9,-0.0001,0.0004,0.0007,612,599,588,561,528,503,483,0.041,0.753,0.156,0.177,0.192,0.264,0.361,0.451,0.53,RS,5788,121,4.31,0.2,-1.23,0.12,5749,41,4.26,0.14,-1.27,0.08,0.27,0.04,0
Hivel298,20170524HD185707N345119V0109038_v2.9.7,Gaia DR2 2092622935520006272,285.3365921,0.0127,35.53642329,0.0148,203,G5,-92,4,-1.187,0.029,-9.732,0.033,0.088,0.017,13.71,18.2,16,1,-86,11.4,1.8,2.6,-3.7,0.7,1,10.2,1.6,2.3,2.7,0.4,0.6,11.1,1.3,2,460,75,111,2,40,27,-163,34,24,488,77,117,0.98843,0.12325,0.00531,521.2,489.9,726.7,8.6,0.8,18,0.0001,0.0005,0.0007,593,578,568,542,510,482,466,0,0.263,0.201,0.233,0.249,0.318,0.426,0.513,0.564,OUT,4279,37,2,0.06,-0.53,0.03,4283,16,1.72,0.04,-0.47,0.02,0.26,0.01,0
Hivel299,20140309HD124814N133310B07141_v2.9.7,Gaia DR2 3929411535538032128,194.0266927,0.037,12.35915281,0.0257,42,F0,353,14,16.471,0.094,-19.727,0.058,0.36,0.047,15.67,15.11,14.44,1,358,2.8,0.3,0.4,-7.8,0,0.1,-0.6,0.1,0.1,2.7,0.3,0.4,8.2,0.1,0.1,387,36,49,88,14,11,282,17,16,488,24,30,0.98218,0.02479,0.00937,731.9,459.6,627.8,11.2,4.9,1.2,-0.0001,0.0001,0.0002,619,604,594,566,534,511,489,0,1,0.005,0.008,0.009,0.03,0.1,0.232,0.485,RS,6329,250,4.19,0.4,-1.16,0.24,6197,60,3.94,0.21,-1.24,0.11,0.16,0.07,0
Hivel300,20130529HD154653N465910B0110010_v2.9.7,Gaia DR2 1400950785006036224,233.9278604,0.0127,46.56878641,0.013,46,G4,43,8,-19.56,0.026,-9.367,0.032,0.161,0.015,13.08,16.35,15.69,1,49,6.2,0.5,0.6,-7.2,0.1,0.1,3.7,0.3,0.4,4.9,0.4,0.5,9.5,0.3,0.3,-9,4,3,-230,49,45,429,33,39,488,49,57,0.98784,0.06649,0.00564,1357.8,1172.5,1346.2,9.2,0.5,0.6,0,0.0003,0.0004,604,592,580,550,519,498,479,0,1,0.048,0.06,0.082,0.148,0.305,0.43,0.546,RS,4653,77,1.56,0.13,-1.32,0.07,4747,55,1.86,0.13,-1.16,0.08,0.2,0.03,1
Hivel301,20130430HD132545N565813F0104213_v2.9.7,Gaia DR2 1565897801417595136,202.1198127,0.0151,57.52973793,0.0144,130,F5,250,12,-4.137,0.029,-9.459,0.026,0.099,0.018,14.39,14.71,13.89,1,256,10.2,1.6,2.2,-10.3,0.5,0.3,4.8,0.8,1.1,8.7,1.4,1.9,14.3,1.3,1.9,70,18,24,-42,92,66,481,41,60,488,44,77,0.98927,0.01219,0.00289,2259.3,1426.4,1383.8,12.3,1.3,2.3,0.0002,0.0003,0.0004,567,562,542,514,486,459,447,0,0.997,0.177,0.183,0.243,0.341,0.505,0.67,0.778,HRS,5540,28,3.12,0.05,-1.65,0.03,5690,41,2.7,0.12,-1.71,0.04,0.21,0.02,0
Hivel302,20120929EG020152N075151V_104187_v2.9.7,Gaia DR2 2568079148073936896,29.8807182,0.0338,7.68545654,0.0223,61,F0,79,12,28.743,0.062,-12.364,0.047,0.219,0.035,13.56,18.17,15.87,0,84,4.6,0.6,0.9,-10.7,0.5,0.4,1.4,0.2,0.3,-3.5,0.7,0.5,11.4,0.5,0.7,-375,68,49,-309,117,83,-46,10,9,488,87,128,0.99129,0.08637,0.004,512.9,474.3,284.5,12.7,6.1,9.6,0.0001,0.0004,0.0007,590,581,565,539,507,481,465,0,0.872,0.214,0.235,0.262,0.324,0.428,0.539,0.596,HRS,6300,77,4.11,0.13,-1.17,0.07,6055,40,2.87,0.12,-1.31,0.07,0.16,0.04,0
Hivel303,20170422HD180852N200242V0107169_v2.9.7,Gaia DR2 4526346706184753024,272.9660369,0.0133,18.09423286,0.019,168,G5,-56,5,-7.916,0.032,-10.745,0.036,0.098,0.019,13.26,16.85,14.2,1,-51,10.1,1.6,2.4,-1.3,1.1,1.6,6.9,1.1,1.7,2.9,0.4,0.7,7.6,0.8,1.7,395,63,101,-255,114,74,128,21,34,487,94,150,0.98599,0.15975,0.00979,478.1,445.4,965,14.6,10,4,-0.0001,0.0005,0.001,625,605,601,571,539,518,495,0,0.974,0.201,0.237,0.257,0.312,0.381,0.425,0.48,RS,4508,38,1.84,0.06,-0.78,0.04,4564,23,2,0.06,-0.67,0.03,0.27,0.01,0
Hivel304,20170202HD114640S034432B0113079_v2.9.7,Gaia DR2 3599497367907792256,178.6737113,0.028,-3.7004542,0.0149,105,F6,-200,6,-14.604,0.069,-13.685,0.031,0.167,0.033,13.98,16.93,16.07,1,-195,6,0.9,1.5,-7.8,0.1,0.1,-3.3,0.8,0.5,5,0.8,1.2,9.8,0.5,0.9,-173,44,28,-95,116,72,-444,72,48,487,62,112,0.98848,0.09563,0.00601,1225.2,1063.9,1708.9,10.4,1.4,16.6,0,0.0003,0.0006,601,590,577,548,517,494,476,0,0.251,0.167,0.183,0.213,0.27,0.362,0.458,0.552,OUT,5328,22,2.72,0.06,-2.45,0.02,5320,44,2.84,0.15,-2.49,0.09,0.27,0.03,0
Hivel305,20151212EG012903N071738M0105101_v2.9.7,Gaia DR2 2565305629992853376,22.4127495,0.0569,6.6262954,0.0452,55,F5,20,14,37.995,0.128,19.092,0.089,0.42,0.067,16.36,18.54,15.99,1,26,2.4,0.3,0.5,-9.2,0.2,0.1,0.9,0.1,0.2,-1.9,0.4,0.3,9.5,0.2,0.3,-428,87,64,155,21,16,171,28,38,487,59,84,0.99164,0.04405,0.00458,185.6,94.8,84.1,43.1,38.7,72.7,-0.0001,0.0003,0.0004,608,595,583,557,524,497,479,0,0.353,0.097,0.116,0.143,0.209,0.318,0.436,0.557,OUT,5991,85,4.07,0.14,-1.54,0.08,5978,47,4.38,0.15,-1.59,0.08,0.18,0.05,0
Hivel306,20170929HIP1023930107056_v2.9.7,Gaia DR2 4226839773133070976,312.540574,0.0169,-1.45230109,0.0142,130,G5,-150,7,-9.994,0.035,-12.55,0.025,0.123,0.022,13.34,14.47,13.49,1,-145,8.1,1.3,1.8,-3.2,0.8,1.1,5.2,0.8,1.2,-3.7,0.8,0.6,7.1,0.5,1,395,76,105,-238,87,64,157,14,18,486,95,135,0.98363,0.04371,0.01224,135.9,110.8,714,1.9,0.7,0.5,-0.0001,0.0005,0.0008,628,609,604,573,541,524,499,0.035,0.466,0.165,0.183,0.199,0.253,0.331,0.374,0.455,OUT,4809,80,2.33,0.13,-0.83,0.08,4724,30,1.95,0.07,-0.8,0.04,-0.13,0.02,0
Hivel307,20170531HD141757N395445B0113022_v2.9.7,Gaia DR2 1490900937921299712,217.6609538,0.0128,40.48242229,0.0145,88,G2,-206,12,-29.908,0.025,3.801,0.03,0.24,0.019,14.44,13.8,12.56,1,-200,4.2,0.3,0.4,-7.7,0,0,1.6,0.1,0.1,3.8,0.3,0.3,8.7,0.1,0.1,-455,40,33,-167,31,26,31,18,21,486,40,49,0.99028,0.03095,0.0051,476.6,367.7,444.8,10,5.8,1.9,-0.0001,0.0002,0.0003,612,599,588,559,527,505,485,0,1,0.009,0.015,0.025,0.081,0.209,0.353,0.515,RS,5283,55,3.02,0.09,-1.73,0.05,5313,42,2.9,0.13,-1.69,0.06,0.25,0.03,1
