ID,specid,Gaia_designation,R.A.,e_R.A.,decl.,e_decl.,S/N_r,Class,RV_LASP,e_RV_LASP,pmra,e_pmra,pmdec,e_pmdec,parallax,e_parallax,G,G_BP,G_RP,astrometric_flag,RV_LASP_Calibrated,r,el_r,eu_r,x,el_x,eu_x,y,el_y,eu_y,z,el_z,eu_z,r_GC,el_r_GC,eu_r_GC,Vx,el_Vx,eu_Vx,Vy,el_Vy,eu_Vy,Vz,el_Vz,eu_Vz,V_GC,el_V_GC,eu_V_GC,e,el_e,eu_e,Zmax,el_Zmax,eu_Zmax,r_min,el_r_min,eu_r_min,E_Phi_Infinity,el_E_Phi_Infinity,eu_E_Phi_Infinity,Vesc(W),Vesc(G),Vesc(Ke),Vesc(Ko),Vesc(P),Vesc(M),Vesc(X),Pgc,PMW,Pub(W),Pub(G),Pub(Ke),Pub(Ko),Pub(P),Pub(M),Pub(X),Origin_Class,Teff_LASP,e_Teff_LASP,log(g)_LASP,e_log(g)_LASP,[Fe/H]_LASP,e_[Fe/H]_LASP,Teff_DD-Payne,e_Teff_DD-Payne,log(g)_DD-Payne,e_log(g)_DD-Payne,[Fe/H]_DD-Payne,e_[Fe/H]_DD-Payne,Alpha_Fe_DD-Payne,e_Alpha_Fe_DD-Payne,conservative_results
Hivel139,20160525HD172411N365522B0208038_v2.9.7,Gaia DR2 1337171237918640512,262.1258315,0.0456,36.85010027,0.0543,14,F0,-160,8,-14.72,0.091,38.2,0.101,0.401,0.06,16.82,14.37,13.03,1,-155,2.5,0.3,0.4,-7.2,0.1,0.2,1.9,0.2,0.3,1.3,0.2,0.2,7.5,0,0,-471,70,52,208,12,15,150,28,39,537,56,79,0.99814,0.00924,0.00119,126.8,86.8,45.6,2.8,1.3,0.4,0.0001,0.0003,0.0004,629,611,604,577,544,519,496,0,1,0.13,0.169,0.202,0.303,0.452,0.6,0.759,HRS,5922,59,4.14,0.12,-1.88,0.09,5946,125,4.11,0.4,-1.43,0.21,0.12,0.11,0
Hivel140,20190307HD134851N094247B0104054_v2.9.7,Gaia DR2 3725301907809032704,207.5820618,0.0391,9.94132132,0.0316,475,A3IV,68,4,-34.545,0.084,-0.399,0.065,0.245,0.043,12.8,17.84,14.83,0,73,4.1,0.6,0.9,-6.7,0.2,0.3,-0.4,0.1,0.1,3.8,0.5,0.8,7.7,0.1,0.2,-452,105,69,-177,92,60,223,21,33,536,87,136,0.99794,0.01873,0.00084,1170,1106.1,1357,1.9,0.5,2.1,0.0002,0.0005,0.0009,622,607,598,568,536,517,494,0.017,1,0.265,0.292,0.318,0.408,0.499,0.562,0.675,HRS,10099,44,2.49,0.01,-0.55,0.02,7709,24,3.81,0.03,-1.11,0.03,0.16,0.01,0
Hivel141,20180315HD152912N162344B0212118_v2.9.7,Gaia DR2 1209366003466570496,234.1466978,0.029,17.88953893,0.0273,71,A6IV,18,6,-22.381,0.061,5.532,0.069,0.18,0.035,15.21,14.17,13.68,1,23,5.6,0.9,1.3,-5.1,0.5,0.7,1.7,0.3,0.4,4.3,0.7,1,6.9,0.1,0.3,-350,87,61,-32,69,48,405,62,90,536,88,134,0.99798,0.02316,0.00073,1299.3,1188.7,2218.3,2.3,1.1,0.6,0.0001,0.0005,0.0009,630,613,606,574,542,528,502,0.035,1,0.241,0.27,0.287,0.378,0.473,0.526,0.62,HRS,8658,34,4.76,0.02,-0.17,0.04,7604,74,4.13,0.09,-0.84,0.08,0.15,0.03,0
Hivel142,20130529HD180049N533743B0107095_v2.9.7,Gaia DR2 2125193798525926656,272.8484709,0.0172,51.99635767,0.0233,169,K3,-208,9,-19.205,0.036,4.093,0.046,0.146,0.019,11.96,14.94,13.56,1,-202,6.9,0.8,0.9,-7.1,0.1,0.1,6,0.7,0.8,3.1,0.4,0.4,9.9,0.4,0.6,-87,10,9,-212,40,35,484,63,79,536,73,88,0.99267,0.03538,0.00248,2449.4,2091.9,1523.9,9.8,0.6,0.8,0.0003,0.0004,0.0006,603,590,578,551,519,494,476,0,1,0.232,0.267,0.315,0.427,0.577,0.687,0.782,HRS,4506,27,0.99,0.04,-2.39,0.03,5137,34,2.2,0.08,-1.92,0.05,0.26,0.02,0
Hivel143,20130531HD174315N325903B02131_v2.9.7,Gaia DR2 4600560820477906688,264.3937967,0.0123,31.16773424,0.0179,11,G7,-213,8,-8.574,0.026,-14.34,0.033,0.116,0.02,14.1,14.92,13.47,1,-207,8.6,1.2,1.9,-3.9,0.6,0.9,6.2,0.9,1.4,4.1,0.6,0.9,8.4,0.6,1.1,406,71,109,-342,95,63,61,23,33,535,98,149,0.99304,0.03516,0.00295,612.9,485.1,374.3,29.5,26.5,5.2,0.0002,0.0005,0.0008,615,599,591,561,529,509,487,0.022,0.274,0.298,0.337,0.355,0.427,0.518,0.592,0.668,OUT,4973,201,2.66,0.52,-1.46,0.22,5004,302,2.06,0.78,-1.62,0.45,0.4,0.19,0
Hivel144,20180220HD160141S034548V0109105_v2.9.7,Gaia DR2 4405808242861059072,241.0148445,0.0207,-2.69312197,0.0132,108,G5,-113,8,-5.114,0.044,-33.032,0.031,0.219,0.025,13.96,15,14.65,1,-107,4.6,0.5,0.6,-4.5,0.4,0.5,0.5,0.1,0.1,2.6,0.3,0.4,5.2,0.2,0.2,203,30,39,-370,83,65,-326,37,29,534,73,97,0.99199,0.05257,0.00501,710.2,636.6,1065.2,3.8,0.1,2.1,0,0.0003,0.0005,654,630,630,598,566,553,521,0,0.372,0.101,0.153,0.157,0.244,0.365,0.402,0.582,OUT,4966,114,2.22,0.18,-1.68,0.11,5101,48,2.47,0.14,-1.52,0.07,0.21,0.04,0
Hivel145,20170531HD170238N204332B0214068_v2.9.7,Gaia DR2 4564648331173245568,253.8666516,0.0138,20.93198078,0.0158,145,F2,50,7,0.296,0.028,-16.01,0.033,0.126,0.022,14.6,16.3,15.2,1,55,8,1.3,1.6,-3.2,0.8,1,4.3,0.7,0.9,4.5,0.7,0.9,7,0.4,0.8,509,74,98,-73,75,56,-134,38,27,533,84,114,0.99304,0.0449,0.00328,222,164.5,533.7,3.9,0.4,3.4,0.0001,0.0004,0.0007,628,610,604,572,540,526,501,0,0.319,0.201,0.232,0.246,0.341,0.466,0.522,0.62,OUT,5437,22,2.79,0.04,-1.03,0.02,5473,30,2.44,0.08,-1.1,0.05,0.21,0.02,0
Hivel146,20150414HD173704N201531B0102206_v2.9.7,Gaia DR2 4553332569817434368,262.7607946,0.0322,18.33829058,0.0362,34,F5,-40,15,-0.018,0.067,-30.397,0.074,0.224,0.04,15.91,17.16,14.72,1,-34,4.4,0.7,1,-5.2,0.5,0.7,2.6,0.4,0.6,1.9,0.3,0.4,6.2,0.1,0.1,461,73,106,-148,86,58,-223,48,34,533,90,138,0.99313,0.01631,0.00398,618.4,577.4,1008.3,0.8,0.3,0.4,0,0.0004,0.0008,644,622,620,590,558,538,510,0.258,0.383,0.197,0.247,0.254,0.333,0.424,0.485,0.597,HVS,6092,251,4.24,0.39,-1.26,0.23,6102,67,4.16,0.22,-1.29,0.11,0.18,0.08,0
Hivel147,20150318HD153027N364816B0104205_v2.9.7,Gaia DR2 1375618037102054272,233.1029754,0.0128,37.17179088,0.0171,117,G2,-140,7,-0.256,0.026,-18.753,0.039,0.14,0.019,14.54,13.3,11.4,1,-135,7.2,0.9,1.1,-6.1,0.3,0.3,3.6,0.4,0.6,5.9,0.7,0.9,9.2,0.4,0.6,498,66,83,-178,58,44,-68,7,8,533,75,97,0.99261,0.0159,0.00267,45,29.4,69.7,381.7,379.1,650.4,0.0002,0.0004,0.0006,606,594,582,551,520,500,481,0.001,0.164,0.214,0.25,0.296,0.408,0.562,0.652,0.74,OUT,5041,30,2.42,0.05,-1.35,0.03,5137,38,2.63,0.1,-1.33,0.06,0.22,0.02,0
Hivel148,20140512IC46650207119_v2.9.7,Gaia DR2 4472543680926213120,267.8348304,0.0204,4.17446099,0.022,50,G9,-234,8,-0.531,0.04,-16.988,0.038,0.116,0.023,13.56,16.05,15.32,1,-229,8.5,1.3,2.2,-1,1.1,1.9,4.1,0.6,1.1,2.3,0.3,0.6,4.8,0.3,1.2,199,57,103,-361,131,74,-336,74,43,533,96,175,0.99466,0.02319,0.00297,987,951.2,1890.5,0.4,0.3,0.4,0,0.0006,0.0012,661,633,637,605,573,561,527,0.374,0.41,0.226,0.26,0.259,0.325,0.381,0.419,0.52,HVS,4539,140,1.31,0.23,-1.46,0.13,4707,60,1.82,0.14,-1.18,0.09,0.28,0.04,0
