	ID	Origin_Class	G	G_BP	G_RP	Class	r	x	y	z	r_GC	Teff_LASP	Teff_DD-Payne	e_Teff_LASP	e_Teff_DD-Payne	[Fe/H]_LASP	[Fe/H]_DD-Payne	RV_LASP	V_GC	Vx	Vy	Vz	RV_LASP_Calibrated	Vesc(W)	Vesc(G)	Vesc(Ke)	Vesc(Ko)	Vesc(P)	Vesc(M)	Vesc(X)	Pgc	PMW	Pub(W)	Pub(G)	Pub(Ke)	Pub(Ko)	Pub(P)	Pub(M)	Pub(X)	Mabs	Luminosity	L_Lsun	Mass
251	Hivel252	OUT	14.54	18.42	16.19	F7	7.9	-4.4	5.2	4.5	8.2	5614	5553	138	62	-1.26	-1.35	-301	501	-402	250	-162	-296	617	601	592	562	530	511	489	0.0	0.267	0.068	0.08199999999999999	0.10099999999999999	0.187	0.32	0.43	0.591	0.0518645435477918	2.725663852887348e+28	70.99931890824038	6.726402367346291e+30
252	Hivel253	HRS	13.83	16.21	15.56	F2	5.5	-7.4	3.1	4.5	9.2	5649	5487	115	30	-0.88	-1.18	-132	500	-154	-365	303	-127	608	595	583	554	522	501	481	0.0	1.0	0.10099999999999999	0.128	0.152	0.231	0.379	0.499	0.612	0.1281865525287813	2.5406421044885538e+28	66.17978912447393	6.592654669989459e+30
253	Hivel254	HVS	13.12	16.72	14.37	G3	5.0	-5.1	3.1	2.3	6.4	4942	5077	25	36	-1.46	-1.32	-59	500	453	-176	-116	-53	640	619	615	585	553	534	507	0.182	0.457	0.003	0.01	0.012	0.035	0.127	0.218	0.43	-0.3748500216800945	4.037923815919702e+28	105.18165709611102	7.525757528817945e+30
255	Hivel256	RS	16.46	16.66	15.42	F0	3.0	-8.5	0.2	3.0	9.0	6183	6125	122	49	-1.21	-1.29	-81	499	-459	-166	-92	-76	611	598	586	558	526	502	482	0.003	0.546	0.21100000000000002	0.235	0.256	0.326	0.405	0.48100000000000004	0.5589999999999999	4.074393726401688	6.705954795670806e+26	1.7467972898335	2.3338085252784945e+30
256	Hivel257	RS	13.51	13.85	13.0	F5	4.6	-7.0	3.4	2.8	8.3	5664	5746	30	31	-1.2	-1.27	-35	497	477	-51	131	-30	618	603	594	565	533	510	489	0.0	1.0	0.0	0.001	0.003	0.022000000000000002	0.14800000000000002	0.336	0.618	0.19621084159212998	2.3863479921370738e+28	62.16066663550596	6.475691085024924e+30
259	Hivel260	HVS	13.63	17.88	17.83	F7	5.4	-3.7	1.1	2.8	4.8	5538	5546	138	61	-1.31	-1.49	-178	497	-359	140	314	-173	659	634	635	602	570	561	527	0.9009999999999999	1.0	0.026000000000000002	0.04	0.04	0.077	0.14800000000000002	0.158	0.308	-0.03196879911484274	2.944459816170465e+28	76.69861464366932	6.876442191022624e+30
260	Hivel261	OUT	14.21	13.78	12.68	G7	6.8	-4.9	3.7	4.6	7.7	5009	5057	47	46	-1.05	-1.06	16	497	460	101	-155	22	621	605	597	565	534	517	494	0.0	0.309	0.042	0.055999999999999994	0.068	0.133	0.257	0.363	0.526	0.047455436468819556	2.736755109175037e+28	71.28822894438753	6.734211325544745e+30
261	Hivel262	OUT	14.08	14.26	13.27	F5	6.9	-4.2	5.1	2.3	7.0	5450	5590	23	29	-1.29	-1.37	-171	496	421	-241	-99	-165	633	612	608	579	547	526	501	0.075	0.489	0.10300000000000001	0.13	0.14300000000000002	0.20600000000000002	0.293	0.371	0.47200000000000003	-0.11424545368627648	3.176261815364929e+28	82.73669745675772	7.026949663504927e+30
262	Hivel263	HRS	13.19	18.34	15.85	G5	6.3	-8.7	5.8	-2.5	10.7	4721	4735	51	31	-0.21	-0.2	43	496	391	264	-150	48	596	584	571	545	513	486	469	0.0	1.0	0.08199999999999999	0.09300000000000001	0.125	0.21	0.374	0.564	0.6890000000000001	-0.8067027472679094	6.010342361605298e+28	156.560103193678	8.43149950699448e+30
264	Hivel265	HVS	12.58	17.9	15.47	G5	4.5	-4.7	0.5	2.9	5.6	4470	4775	133	232	-1.14	-1.01	-4	496	353	-89	-338	1	649	627	624	593	560	548	517	0.5660000000000001	0.5660000000000001	0.064	0.094	0.096	0.146	0.231	0.27	0.40299999999999997	-0.6860625688767179	5.3782766721495325e+28	140.09577161108447	8.168030861625008e+30
