	ID	Origin_Class	G	G_BP	G_RP	Class	r	x	y	z	r_GC	Teff_LASP	Teff_DD-Payne	e_Teff_LASP	e_Teff_DD-Payne	[Fe/H]_LASP	[Fe/H]_DD-Payne	RV_LASP	V_GC	Vx	Vy	Vz	RV_LASP_Calibrated	Vesc(W)	Vesc(G)	Vesc(Ke)	Vesc(Ko)	Vesc(P)	Vesc(M)	Vesc(X)	Pgc	PMW	Pub(W)	Pub(G)	Pub(Ke)	Pub(Ko)	Pub(P)	Pub(M)	Pub(X)	Mabs	Luminosity	L_Lsun	Mass
305	Hivel306	OUT	13.34	14.47	13.49	G5	8.1	-3.2	5.2	-3.7	7.1	4809	4724	80	30	-0.83	-0.8	-150	486	395	-238	157	-145	628	609	604	573	541	524	499	0.035	0.466	0.165	0.183	0.19899999999999998	0.253	0.331	0.374	0.455	-1.2024250943932486	8.653427309600765e+28	225.40836961710772	9.356862123617841e+30
306	Hivel307	RS	14.44	13.8	12.56	G2	4.2	-7.7	1.6	3.8	8.7	5283	5313	55	42	-1.73	-1.69	-206	486	-455	-167	31	-200	612	599	588	559	527	505	485	0.0	1.0	0.009000000000000001	0.015	0.025	0.081	0.209	0.353	0.515	1.3237535480104974	8.447276168919153e+27	22.003845191245517	4.813091295170093e+30
307	Hivel308	HVS	16.01	16.35	13.9	F0	2.1	-7.6	0.2	2.0	7.9	6063	5957	298	66	-1.37	-1.57	-20	486	469	-13	-118	-15	624	608	599	571	539	515	492	0.303	0.48100000000000004	0.037000000000000005	0.049	0.055999999999999994	0.115	0.20800000000000002	0.322	0.445	4.398903526330406	4.9734379231212084e+26	1.2955034965150323	2.1427839645551668e+30
308	Hivel309	OUT	13.08	13.51	12.85	K4	13.6	-4.8	12.9	2.7	14.0	4123	4075	58	16	-0.07	-0.24	-67	486	481	68	-15	-61	572	560	546	521	491	461	448	0.0	0.24600000000000002	0.243	0.268	0.32	0.387	0.479	0.605	0.664	-2.5876945418510875	3.099530604232506e+29	807.3796833114109	1.3472454896794976e+31
309	Hivel310	HVS	13.12	13.45	12.61	F5	4.1	-6.7	-0.5	3.8	7.8	5631	5644	36	39	-1.16	-1.37	69	486	471	36	-117	74	622	607	597	567	535	516	493	0.282	0.414	0.023	0.042	0.059000000000000004	0.106	0.215	0.301	0.439	0.05608071640132195	2.7150999738244075e+28	70.72414623142505	6.718943584140231e+30
310	Hivel311	RS	16.71	14.06	13.25	Non	2.8	-7.3	0.9	2.5	7.8	6079	6098	293	76	-1.36	-0.99	180	486	-191	-127	428	186	624	608	599	571	538	516	493	0.0	1.0	0.129	0.154	0.168	0.214	0.298	0.365	0.467	4.474209843288904	4.640173022476712e+26	1.2086931551124545	2.100738290474275e+30
311	Hivel312	OUT	13.3	14.97	14.16	G3	9.3	-4.8	6.6	5.8	10.0	4865	4947	28	39	-1.33	-1.21	-253	485	420	-225	-92	-247	600	587	575	545	515	493	475	0.003	0.331	0.142	0.156	0.18600000000000003	0.266	0.382	0.45899999999999996	0.555	-1.542414742769676	1.1835429129680762e+29	308.2945853003585	1.0232604531026687e+31
313	Hivel314	RS	16.16	13.59	13.08	A1V	4.0	-7.3	1.1	3.7	8.3	8779	7103	45	83	-0.02	-2.1	-207	485	-225	-427	51	-202	617	603	592	563	531	510	488	0.0	0.985	0.21100000000000002	0.228	0.25	0.312	0.389	0.431	0.49	3.1497000433601876	1.571585795172924e+27	4.093737419049034	2.9767646524863733e+30
316	Hivel317	HRS	14.17	13.44	12.4	A6V	9.3	-6.5	7.3	5.6	11.3	7495	7339	41	142	-0.67	-0.69	-85	484	-420	77	227	-80	590	579	565	536	506	481	465	0.002	1.0	0.133	0.14800000000000002	0.183	0.264	0.396	0.518	0.62	-0.6724147427696767	5.3110942598245525e+28	138.34577389488285	8.138748314989042e+30
317	Hivel318	OUT	12.97	18.61	15.61	G5	7.9	-8.1	5.7	5.5	11.3	4665	4680	38	32	-0.88	-0.86	-306	484	459	-154	-13	-300	589	579	565	536	506	481	465	0.003	0.285	0.111	0.127	0.159	0.26	0.384	0.518	0.601	-1.5181354564522067	1.157370196677251e+29	301.4769983530219	1.0167435225486405e+31
318	Hivel319	RS	14.26	14.69	13.58	A9V	1.3	-8.0	-0.1	1.3	8.1	6319	6231	11	28	-1.49	-1.38	366	484	358	72	318	371	623	607	598	572	539	512	490	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.151	3.690283238465815	9.552231007658269e+26	2.488208129111297	2.5820435525472576e+30
321	Hivel322	OUT	15.33	15.58	14.92	F0	3.3	-8.4	-1.1	3.2	9.0	6231	6229	50	40	-1.43	-1.48	-66	483	390	284	-25	-60	611	598	586	558	526	502	482	0.0	0.418	0.073	0.081	0.098	0.154	0.251	0.374	0.505	2.737430300610562	2.2974495946512294e+27	5.984500116309532	3.317882807612557e+30
322	Hivel323	RS	14.24	14.35	13.33	F5	6.3	-6.3	5.8	1.5	8.7	6032	5848	64	35	-1.04	-1.22	-403	483	352	-315	104	-397	616	599	591	565	532	506	485	0.115	1.0	0.025	0.037000000000000005	0.045	0.084	0.188	0.349	0.48	0.24329725273209135	2.285068434138614e+28	59.522491121089196	6.395946449875631e+30
323	Hivel324	RS	13.84	18.09	15.64	F2	4.7	-5.4	3.6	1.0	6.6	5412	5484	54	42	-1.23	-1.37	-73	483	-29	302	-376	-68	641	619	616	589	556	532	505	0.0	0.733	0.0	0.0	0.0	0.005	0.016	0.07	0.23399999999999999	0.4795107103214118	1.838289167301181e+28	47.88458367546708	6.010477769928363e+30
324	Hivel325	RS	13.51	14.11	13.2	F2	9.2	-4.0	5.9	5.8	9.1	4701	5300	54	40	-2.15	-1.61	-149	482	302	-337	164	-143	607	593	582	552	520	501	481	0.0	0.932	0.152	0.17600000000000002	0.201	0.27699999999999997	0.36200000000000004	0.433	0.502	-1.3089391367277763	9.545391968548293e+28	248.64266654202382	9.622839970562085e+30
325	Hivel326	OUT	14.97	17.55	14.95	F0	1.9	-7.6	0.4	1.7	7.8	6223	6230	16	31	-1.44	-1.54	-478	482	-104	-327	-335	-473	625	608	600	573	540	515	493	0.0	0.49700000000000005	0.0	0.0	0.0	0.0	0.019	0.10400000000000001	0.316	3.5762319952358563	1.0610242599895634e+27	2.7638037509496316	2.6607127530663643e+30
326	Hivel327	RS	16.38	18.57	16.36	F5	2.6	-9.2	1.6	-1.7	9.5	6066	6041	258	90	-1.34	-1.47	-37	482	-473	-80	39	-32	608	595	583	557	524	497	478	0.07	0.884	0.174	0.192	0.21600000000000003	0.285	0.37	0.449	0.516	4.30513326014591	5.422066104131692e+26	1.4123641844573307	2.19631683013024e+30
327	Hivel328	RS	15.03	14.09	11.54	F5	4.7	-5.8	1.0	3.9	7.1	6194	5968	91	36	-0.95	-1.26	-138	482	-146	-441	126	-133	629	612	605	574	542	525	500	0.0	1.0	0.125	0.146	0.159	0.22899999999999998	0.309	0.355	0.43799999999999994	1.6695107103214113	6.143471218457908e+27	16.002790358056547	4.394495208002879e+30
328	Hivel329	OUT	15.95	14.15	13.33	F0	2.1	-8.6	-1.1	1.8	8.9	6238	6278	231	138	-1.66	-1.62	267	482	9	-466	-113	272	614	600	589	563	530	504	483	0.0	0.491	0.147	0.16399999999999998	0.18100000000000002	0.23600000000000002	0.32899999999999996	0.41100000000000003	0.493	4.338903526330403	5.2560162781417174e+26	1.3691107783646048	2.1768852190910872e+30
330	Hivel331	RS	13.62	18.59	16.23	F0	5.2	-5.4	3.6	2.5	7.0	6452	6321	34	27	-1.09	-1.13	-157	481	420	-144	-183	-151	632	613	608	579	546	526	501	0.114	0.599	0.005	0.01	0.011000000000000001	0.03	0.091	0.159	0.32899999999999996	0.03998328182600375	2.7556547154554756e+28	71.78053439581859	6.74746594544681e+30
332	Hivel333	RS	13.73	14.33	13.72	G2	4.0	-6.2	-0.4	3.4	7.1	5099	5235	37	37	-1.57	-1.47	-77	481	-226	-422	-11	-71	630	613	605	575	543	525	500	0.0	0.799	0.075	0.098	0.10800000000000001	0.168	0.255	0.307	0.402	0.7197000433601879	1.4734591321785313e+28	38.38132670431184	5.642333934272406e+30
334	Hivel335	OUT	13.6	14.51	13.85	G3	11.1	-7.4	6.5	9.0	13.3	4767	5023	58	49	-1.88	-1.53	-289	481	-96	-440	165	-283	574	567	549	520	491	466	453	0.0	0.496	0.22	0.233	0.281	0.37	0.46299999999999997	0.5489999999999999	0.612	-1.6266148939332883	1.2789809318506652e+29	333.1547100418508	1.0461863860577438e+31
335	Hivel336	RS	14.14	18.04	16.02	F6	1.9	-8.6	0.8	1.7	8.8	5696	5636	54	50	-1.76	-1.95	-76	481	-453	-157	9	-70	615	601	590	564	531	505	484	0.0	1.0	0.0	0.0	0.0	0.0	0.019	0.14	0.434	2.7462319952358563	2.2789002393973831e+27	5.936181920805896	3.31020685796015e+30
336	Hivel337	RS	14.55	17.64	16.25	G0	4.1	-5.0	1.2	2.3	5.6	5309	5373	26	35	-2.02	-1.91	-320	480	46	-392	-270	-314	650	627	625	594	562	546	516	0.0	0.7090000000000001	0.023	0.033	0.033	0.071	0.134	0.161	0.284	1.4860807164013234	7.274209848587328e+27	18.94818923831031	4.611820793561155e+30
337	Hivel338	OUT	15.04	14.65	13.0	G0	2.7	-7.6	-0.1	2.6	8.1	5507	5441	29	33	-0.99	-1.04	-169	480	390	-90	-262	-164	621	605	596	568	535	513	491	0.0	0.46399999999999997	0.005	0.013000000000000001	0.022000000000000002	0.053	0.141	0.265	0.405	2.883181179205062	2.0088413551750647e+27	5.232720383368234	3.193035880528807e+30
338	Hivel339	RS	14.75	11.9	10.47	F7	3.7	-9.7	-2.6	2.1	10.3	5524	5538	80	50	-1.84	-1.8	145	480	446	-168	57	151	600	589	575	549	517	490	472	0.0	0.722	0.091	0.11	0.15	0.21600000000000003	0.301	0.449	0.534	1.908991379665025	4.9274424455415927e+27	12.835223874815298	4.1261002524108324e+30
339	Hivel340	RS	16.16	17.02	16.07	F0	2.6	-6.9	0.2	2.3	7.2	6135	6191	110	59	-1.69	-1.67	170	480	253	-392	123	175	630	612	606	577	544	523	498	0.0	0.97	0.133	0.161	0.17	0.228	0.308	0.365	0.44	4.085133260145911	6.639949984605596e+26	1.729604059548215	2.3272221762496596e+30
340	Hivel341	OUT	14.13	13.75	10.26	G3	5.5	-5.8	1.6	4.7	7.7	5029	5074	43	41	-1.18	-1.17	-106	480	410	56	-244	-101	621	607	597	566	534	518	494	0.0	0.49	0.052000000000000005	0.062	0.076	0.13699999999999998	0.23800000000000002	0.298	0.414	0.428186552528782	1.9272741266399678e+28	50.20250394998614	6.09220646642236e+30
342	Hivel343	RS	13.6	14.88	13.96	G0	6.3	-5.4	3.6	4.4	7.8	4941	5173	22	33	-1.77	-1.51	-175	480	-54	-358	313	-170	620	605	596	565	533	515	493	0.0	1.0	0.026000000000000002	0.039	0.05	0.105	0.203	0.282	0.415	-0.3967027472679092	4.1200189258301205e+28	107.3201074714801	7.56915983388434e+30
343	Hivel344	HRS	13.08	16.06	16.37	G5	13.2	-5.3	11.7	5.4	14.0	4601	4550	68	32	-0.5	-0.49	-20	480	428	36	216	-15	571	561	545	518	489	461	449	0.0	0.922	0.222	0.235	0.28	0.344	0.46399999999999997	0.585	0.639	-2.5228696560292505	2.919886529419726e+29	760.585186095266	1.3244579666165842e+31
344	Hivel345	HVS	14.55	12.99	11.3	F0	1.7	-8.0	-0.8	1.6	8.2	6197	6243	66	48	-1.67	-1.67	42	480	463	-3	-126	47	621	605	596	570	537	511	489	0.262	0.519	0.0	0.0	0.004	0.013000000000000001	0.07200000000000001	0.183	0.4	3.39775539310863	1.2505928889004994e+27	3.2576006483472244	2.788658394143726e+30
346	Hivel347	OUT	14.22	13.32	12.12	G7	6.7	-7.6	4.6	4.8	10.1	4958	4953	44	42	-0.96	-0.98	-309	479	446	-151	-85	-304	599	588	575	546	515	491	474	0.027999999999999997	0.302	0.038	0.05	0.06	0.132	0.252	0.41700000000000004	0.537	0.08962598649586795	2.6324959852018466e+28	68.57244035430703	6.659892964287844e+30
347	Hivel348	OUT	15.11	14.36	14.18	F5	3.8	-6.6	0.8	3.4	7.5	5819	5811	88	36	-1.35	-1.29	-227	479	273	-312	-238	-221	625	609	601	571	539	520	496	0.0	0.499	0.054000000000000006	0.07200000000000001	0.084	0.14300000000000002	0.233	0.298	0.414	2.211082016915949	3.7306568617386155e+27	9.717782916745549	3.8107910065992665e+30
349	Hivel350	RS	16.43	16.74	15.93	F6	2.2	-6.7	0.0	1.6	6.9	5856	5826	272	87	-1.16	-1.27	131	479	414	-165	-173	136	636	617	611	583	551	528	502	0.040999999999999995	0.546	0.106	0.139	0.15	0.203	0.256	0.324	0.413	4.717886595888968	3.707349021148116e+26	0.9657069604449378	1.970258363632986e+30
351	Hivel352	OUT	14.78	15.35	14.95	G3	7.5	-7.4	2.4	7.1	10.5	5129	5204	32	38	-1.24	-1.21	-116	479	404	-256	20	-110	594	585	570	539	509	488	471	0.0	0.408	0.19399999999999998	0.207	0.239	0.31	0.409	0.47100000000000003	0.527	0.4046936830414989	1.9694304069116286e+28	51.30060971376996	6.129986423157492e+30
352	Hivel353	RS	17.08	13.32	11.93	K5	0.9	-8.9	0.4	-0.5	8.9	4726	4673	40	69	-1.68	-1.58	102	479	-431	-204	20	107	616	601	590	566	533	504	483	0.0	0.985	0.026000000000000002	0.043	0.057	0.095	0.201	0.345	0.469	7.308787452803374	3.4095976339448904e+25	0.08881473388759809	9.963690407862404e+29
354	Hivel355	HVS	15.47	14.36	13.19	F0	3.0	-8.3	-0.7	2.9	8.8	6176	6145	31	36	-1.37	-1.48	152	479	-467	20	100	157	613	599	588	560	528	505	484	0.243	0.9990000000000001	0.067	0.083	0.105	0.149	0.251	0.35100000000000003	0.46299999999999997	3.0843937264016876	1.6690164669276182e+27	4.347529218357954	3.028364029884675e+30
355	Hivel356	HVS	13.9	16.69	14.0	G2	7.5	-3.0	2.7	4.8	6.3	4988	5286	58	44	-2.06	-1.81	-96	479	-338	110	319	-90	635	617	611	578	546	536	508	0.345	1.0	0.076	0.09	0.099	0.14300000000000002	0.205	0.237	0.35100000000000003	-0.4753063169585001	4.429356527537631e+28	115.37787255893804	7.727356364975033e+30
356	Hivel357	HVS	15.42	19.47	17.36	F5	5.2	-7.2	0.4	5.1	8.8	6316	6201	279	64	-0.63	-0.75	43	479	-438	-88	171	48	610	598	586	555	524	504	484	0.228	0.993	0.124	0.15	0.17600000000000002	0.242	0.34	0.39799999999999996	0.473	1.8399832818260045	5.250791812570595e+27	13.6774988605642	4.201713302213868e+30
357	Hivel358	OUT	12.8	13.45	12.27	G5	6.2	-7.0	6.0	1.3	9.3	4505	4576	31	26	-1.31	-1.24	-271	479	463	-118	18	-265	610	595	585	560	527	499	480	0.002	0.452	0.08	0.102	0.122	0.172	0.257	0.381	0.491	-1.1619584474912692	8.336840469994224e+28	217.16177311784904	9.257750461853578e+30
358	Hivel359	OUT	15.53	13.08	11.46	F0	1.7	-8.7	-0.6	1.5	8.9	6124	6099	88	38	-1.26	-1.26	155	479	-409	-204	-135	161	614	600	589	563	530	504	483	0.0	0.496	0.031	0.05	0.068	0.113	0.213	0.33799999999999997	0.457	4.377755393108629	5.071260908202056e+26	1.3209848679869904	2.1547421996190164e+30
359	Hivel360	OUT	16.98	14.91	12.32	G7	1.5	-9.6	-0.1	0.5	9.6	5199	5220	49	68	-2.11	-2.21	154	479	-201	-364	-239	159	608	595	583	559	526	496	477	0.0	0.43799999999999994	0.15	0.17	0.193	0.245	0.335	0.43700000000000006	0.51	6.099543704721594	1.0384859620116555e+26	0.27050949778891786	1.3696812485768767e+30
361	Hivel362	RS	16.98	15.63	14.0	K5	1.1	-8.2	0.1	1.1	8.2	4600	4894	74	140	-1.0	-0.63	-122	478	429	-197	-72	-116	621	606	596	571	538	511	489	0.0	0.531	0.017	0.026000000000000002	0.035	0.065	0.14800000000000002	0.27	0.41200000000000003	6.773036574208875	5.584746729040455e+25	0.14547399658870683	1.14722577676253e+30
362	Hivel363	HVS	12.84	17.21	16.73	G2	6.1	-4.3	2.5	4.1	6.5	4526	4935	62	43	-1.73	-1.25	-180	478	-404	186	177	-174	635	616	611	579	546	533	506	0.562	0.9990000000000001	0.067	0.085	0.091	0.14	0.217	0.255	0.359	-1.0866491750538358	7.778176291139105e+28	202.6094371226649	9.076087965453849e+30
365	Hivel366	RS	14.29	14.61	13.79	F2	0.6	-8.1	0.2	0.6	8.2	5721	5706	17	28	-1.22	-1.26	277	478	341	63	329	282	623	607	598	574	540	512	490	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	5.399243748081782	1.9793409643120078e+26	0.5155876437384757	1.6468490397780352e+30
366	Hivel367	RS	13.16	15.86	13.35	G5	4.5	-5.0	2.5	2.0	5.9	4944	5086	43	37	-1.69	-1.55	-357	478	-175	-355	267	-352	647	624	622	592	560	542	512	0.0	1.0	0.0	0.002	0.002	0.019	0.051	0.096	0.21899999999999997	-0.10606256887671783	3.1524132168623474e+28	82.11547842829768	7.011834480616065e+30
367	Hivel368	OUT	13.82	14.05	13.43	F0	6.3	-6.4	3.9	4.7	8.9	6302	6121	55	34	-1.12	-1.33	-144	478	443	-178	17	-138	610	597	586	556	524	504	484	0.002	0.406	0.040999999999999995	0.054000000000000006	0.07200000000000001	0.127	0.254	0.35700000000000004	0.47	-0.17670274726790858	3.3643348244966364e+28	87.6357078535201	7.143397524638646e+30
368	Hivel369	RS	14.26	15.38	13.61	G3	3.3	-6.1	-0.6	2.5	6.6	5243	5164	170	264	-1.12	-1.23	305	478	469	-78	-49	310	637	618	612	583	550	531	505	0.046	0.6459999999999999	0.006999999999999999	0.012	0.012	0.019	0.059000000000000004	0.09699999999999999	0.237	1.6674303006105617	6.1552541818579e+27	16.033483151492316	4.396901699819478e+30
369	Hivel370	OUT	17.38	12.7	11.28	K5	0.9	-8.4	-0.4	0.8	8.4	4328	4518	191	67	-1.28	-1.06	53	477	-421	-79	-206	58	620	604	595	570	536	508	487	0.011000000000000001	0.495	0.087	0.102	0.11900000000000001	0.172	0.262	0.355	0.444	7.608787452803375	2.5864443049831556e+25	0.06737286545931638	9.207346990056563e+29
370	Hivel371	RS	12.98	16.1	15.39	G3	6.4	-4.5	3.2	4.1	6.8	4861	5014	28	37	-1.7	-1.45	-433	477	-248	-399	79	-428	631	613	607	575	543	528	502	0.0	1.0	0.048	0.067	0.077	0.126	0.19699999999999998	0.24	0.358	-1.0508998699194354	7.52623994645138e+28	196.04688581535245	8.991104835762079e+30
371	Hivel372	OUT	13.91	17.3	14.65	G3	8.3	-6.1	6.7	4.4	10.1	5034	5117	93	52	-0.84	-0.76	-167	477	471	-69	-24	-161	600	587	575	547	515	492	474	0.0	0.38299999999999995	0.096	0.12	0.145	0.214	0.32899999999999996	0.429	0.519	-0.6853904618803686	5.374948369417577e+28	140.00907448339615	8.166586336778313e+30
372	Hivel373	RS	13.13	10.64	7.87	G8	8.2	-2.0	3.2	4.3	5.8	4538	4730	145	82	-1.07	-0.86	26	477	390	-20	-272	32	642	622	618	585	553	545	515	0.0	0.565	0.066	0.079	0.087	0.14	0.203	0.22899999999999998	0.318	-1.4390692619185828	1.0760831150570953e+29	280.30297344545335	9.958072360793021e+30
373	Hivel374	HVS	13.67	14.76	13.79	F0	5.5	-5.6	0.9	4.8	7.5	6236	5881	75	40	-0.94	-1.3	3	477	437	-133	-135	9	623	608	599	568	536	520	496	0.242	0.47700000000000004	0.07400000000000001	0.094	0.11800000000000001	0.174	0.26	0.319	0.414	-0.031813447471218836	2.944038540775642e+28	76.68764107256166	6.876161079655511e+30
374	Hivel375	OUT	13.36	13.77	12.79	G0	4.2	-8.6	-1.8	3.8	9.5	5244	5314	22	32	-1.13	-1.14	-14	477	-297	-248	-275	-9	605	593	580	552	521	497	478	0.0	0.461	0.17300000000000001	0.18899999999999997	0.21600000000000003	0.284	0.364	0.431	0.495	0.2437535480104973	2.284108305088625e+28	59.49748124742447	6.395178500917132e+30
375	Hivel376	RS	13.34	18.66	16.43	G0	4.2	-6.1	2.3	2.8	7.1	4944	5188	32	41	-1.99	-1.81	-273	477	-41	-430	197	-267	630	612	606	576	544	524	499	0.0	1.0	0.0	0.0	0.001	0.006999999999999999	0.055999999999999994	0.11599999999999999	0.273	0.22375354801049774	2.326573048946158e+28	60.60362200953785	6.428925383516412e+30
377	Hivel378	HRS	14.9	15.19	14.2	G3	7.1	-8.8	2.8	6.6	11.3	4964	5134	173	83	-1.59	-1.45	-102	477	8	-437	193	-97	589	580	564	535	505	481	465	0.0	0.938	0.24	0.254	0.29	0.354	0.439	0.494	0.53	0.6437082564046239	1.5802827866897646e+28	41.16391734018663	5.756301875416137e+30
378	Hivel379	RS	15.93	15.88	15.23	F5	3.5	-5.7	1.7	1.7	6.2	5976	5962	43	40	-1.34	-1.46	-49	476	308	75	-353	-44	645	623	620	591	559	538	510	0.0	0.638	0.066	0.084	0.08800000000000001	0.125	0.18100000000000002	0.239	0.33799999999999997	3.2096597782486214	1.4871480323298352e+27	3.8737901337062652	2.93016420638007e+30
379	Hivel380	RS	13.56	13.77	12.67	G3	6.6	-5.3	2.7	5.3	8.0	4885	5174	206	73	-1.7	-1.33	-171	476	-448	63	149	-165	618	604	594	562	530	514	492	0.016	1.0	0.02	0.026000000000000002	0.035	0.091	0.17600000000000002	0.251	0.382	-0.5377196777093438	4.691438021043692e+28	122.20468926917668	7.855320275811546e+30
380	Hivel381	RS	13.96	14.43	13.34	G3	8.9	-6.5	3.9	7.9	10.9	4978	5075	24	38	-1.29	-1.2	13	476	-405	-14	249	18	591	582	566	536	506	485	468	0.005	0.9990000000000001	0.114	0.129	0.163	0.249	0.353	0.46	0.555	-0.7869500332245636	5.901985326278717e+28	153.7375703641239	8.387786468675839e+30
381	Hivel382	RS	12.99	16.46	15.56	G8	5.7	-3.5	0.9	3.2	4.9	4630	4993	28	32	-1.92	-1.59	361	476	418	208	89	367	656	633	632	600	567	559	526	0.0	0.991	0.0	0.0	0.0	0.0	0.0	0.0	0.005	-0.7893742783624571	5.915178074614341e+28	154.08122101105343	8.39313913376061e+30
382	Hivel383	RS	14.92	15.79	15.09	G3	6.2	-6.6	2.6	5.4	8.9	5316	5342	78	121	-1.21	-1.26	65	476	-349	-5	322	70	609	597	585	554	523	504	483	0.081	1.0	0.073	0.08900000000000001	0.113	0.198	0.28600000000000003	0.365	0.45399999999999996	0.95804155250873	1.1830456176067337e+28	30.816504756622397	5.299315252133066e+30
383	Hivel384	RS	14.22	13.03	12.16	F9	8.5	-2.5	4.6	4.4	6.9	4817	4973	91	145	-1.05	-0.97	-155	476	-288	-17	378	-150	630	611	606	574	542	528	502	0.0	0.9990000000000001	0.10300000000000001	0.125	0.138	0.188	0.266	0.315	0.384	-0.42709462857146363	4.236975605498631e+28	110.36664770770074	7.629938439541324e+30
384	Hivel385	HVS	15.66	16.35	15.66	F5	1.8	-7.6	0.5	1.6	7.8	5977	5926	176	68	-1.33	-1.43	-167	476	-468	10	81	-162	626	609	601	574	541	516	493	0.991	1.0	0.004	0.006	0.01	0.028999999999999998	0.085	0.16699999999999998	0.32899999999999996	4.38363747448347	5.043861146979758e+26	1.3138476548527633	2.1514094866946916e+30
386	Hivel387	OUT	14.09	14.32	13.68	F0	7.4	-6.4	5.3	4.9	9.7	6581	6443	18	22	-1.05	-1.14	-397	475	353	-151	-278	-392	603	590	578	549	518	496	477	0.0	0.354	0.021	0.027000000000000003	0.045	0.109	0.214	0.33899999999999997	0.48	-0.25615859865488133	3.619774794351714e+28	94.28952316623376	7.29433135225488e+30
387	Hivel388	RS	13.4	15.35	15.61	G5	7.8	-1.9	2.5	3.9	5.0	4404	4488	31	20	-0.71	-0.64	68	475	391	-227	-147	73	653	630	629	596	563	558	524	0.139	0.6459999999999999	0.08	0.098	0.10400000000000001	0.14300000000000002	0.212	0.22699999999999998	0.305	-1.0604730134524019	7.592893659287759e+28	197.78311172929824	9.013783758386845e+30
388	Hivel389	HVS	16.17	15.24	14.25	F0	3.7	-7.2	1.4	3.3	8.0	6163	6211	77	218	-1.7	-1.76	-25	475	458	-124	7	-20	620	605	596	566	534	513	491	0.28600000000000003	0.531	0.08900000000000001	0.10300000000000001	0.11900000000000001	0.182	0.263	0.33899999999999997	0.441	3.328991379665027	1.3323599214287103e+27	3.470591095151629	2.83957969231825e+30
389	Hivel390	RS	14.41	14.41	13.78	A1IV	2.8	-9.7	0.3	2.4	10.0	11050	8020	67	73	0.13	-0.94	-24	474	366	-138	271	-18	603	591	578	551	519	493	475	0.0	1.0	0.061	0.078	0.09300000000000001	0.168	0.289	0.42	0.498	2.174209843288903	3.859527811744112e+27	10.053471768023215	3.8479471125399875e+30
390	Hivel391	HVS	13.54	13.28	12.43	G2	8.2	-2.7	4.0	4.5	6.6	4519	5074	56	47	-1.87	-1.27	-64	474	-286	318	204	-59	632	614	608	576	544	531	505	0.502	1.0	0.008	0.01	0.013000000000000001	0.051	0.11699999999999999	0.147	0.267	-1.0290692619185844	7.376423060561449e+28	192.14438813653163	8.939600989563067e+30
391	Hivel392	HVS	13.67	15.85	15.11	G4	5.4	-4.4	3.2	2.0	5.8	5141	5096	57	38	-0.82	-0.84	-160	474	333	-319	-109	-155	649	625	624	594	562	544	514	0.5	0.6709999999999999	0.036000000000000004	0.051	0.052000000000000005	0.095	0.162	0.19899999999999998	0.302	0.008031200885156409	2.837955829719598e+28	73.92435086531904	6.804439668116955e+30
393	Hivel394	RS	16.13	17.04	16.85	F0	2.5	-9.7	1.3	-1.4	9.9	6122	6153	59	43	-1.45	-1.49	-448	474	444	-151	-63	-443	604	592	579	554	521	493	475	0.025	0.9890000000000001	0.017	0.022000000000000002	0.035	0.068	0.15	0.316	0.485	4.1402999566398115	6.310999263053982e+26	1.6439174949346138	2.293681339598328e+30
394	Hivel395	RS	14.35	14.31	13.42	A5V	7.3	-3.7	4.0	4.1	6.8	6469	6378	12	34	-1.58	-1.64	-66	473	-266	72	385	-61	631	613	607	575	543	529	503	0.026000000000000002	1.0	0.051	0.069	0.078	0.127	0.19	0.239	0.336	0.03338569939772107	2.7724507008749252e+28	72.21804378418665	6.759190874436436e+30
396	Hivel397	RS	14.07	13.42	12.19	G2	2.9	-7.4	-0.7	2.7	7.9	5249	5319	43	39	-1.2	-1.23	291	473	-316	-20	350	297	622	606	597	569	537	514	492	0.0	1.0	0.0	0.002	0.002	0.006999999999999999	0.049	0.11800000000000001	0.27899999999999997	1.7580100105052203	5.662576834365802e+27	14.750135020489196	4.2933351245423823e+30
397	Hivel398	RS	14.87	11.84	10.74	A6IV	1.6	-8.8	0.5	-1.4	8.9	6250	6304	15	44	-2.09	-1.54	-66	473	-291	-370	-32	-61	614	600	589	564	531	504	483	0.0	1.0	0.004	0.008	0.011000000000000001	0.032	0.125	0.253	0.419	3.849400086720374	8.250078433914806e+26	2.1490175654896606	2.476160439473501e+30
398	Hivel399	RS	16.04	15.8	14.44	F5	2.7	-6.7	1.0	2.0	7.1	6195	5981	246	107	-1.18	-1.35	-192	473	-409	-64	229	-186	632	614	608	579	547	525	500	0.115	1.0	0.057999999999999996	0.076	0.078	0.11800000000000001	0.184	0.252	0.36700000000000005	3.883181179205062	7.997341479995979e+26	2.0831835061203385	2.45424595851446e+30
399	Hivel400	RS	15.32	11.75	11.46	F0	1.4	-7.2	0.8	0.6	7.2	6197	6164	88	51	-1.51	-1.62	-69	473	-26	-149	448	-64	634	615	609	584	550	523	499	0.0	1.0	0.0	0.001	0.002	0.003	0.03	0.10400000000000001	0.237	4.589359821608809	4.173247899609022e+26	1.0870663973975052	2.038036482396537e+30
